size	colour	xmin	xmax	ymin	ymax	showSelected1	PANEL
3	#FFA500	0.42	6.58	1	150	subset	1
3	#FFA500	0.42	6.58	151	300	subset	1
1	#7F7F7F	0.42	6.58	1	50	fold	1
1	#7F7F7F	0.42	6.58	51	100	fold	1
1	#7F7F7F	0.42	6.58	101	150	fold	1
1	#7F7F7F	0.42	6.58	151	200	fold	1
1	#7F7F7F	0.42	6.58	201	250	fold	1
1	#7F7F7F	0.42	6.58	251	300	fold	1
3	#FFA500	6.42	12.58	1	150	subset	2
3	#FFA500	6.42	12.58	151	300	subset	2
1	#7F7F7F	6.42	12.58	1	50	fold	2
1	#7F7F7F	6.42	12.58	51	100	fold	2
1	#7F7F7F	6.42	12.58	101	150	fold	2
1	#7F7F7F	6.42	12.58	151	200	fold	2
1	#7F7F7F	6.42	12.58	201	250	fold	2
1	#7F7F7F	6.42	12.58	251	300	fold	2
3	#FFA500	12.42	18.58	1	150	subset	3
3	#FFA500	12.42	18.58	151	300	subset	3
1	#7F7F7F	12.42	18.58	1	50	fold	3
1	#7F7F7F	12.42	18.58	51	100	fold	3
1	#7F7F7F	12.42	18.58	101	150	fold	3
1	#7F7F7F	12.42	18.58	151	200	fold	3
1	#7F7F7F	12.42	18.58	201	250	fold	3
1	#7F7F7F	12.42	18.58	251	300	fold	3
