size	colour	xmin	xmax	ymin	ymax	showSelectedlegendsizecolour	PANEL
3	#FFA500	0.53	6.47	1	150	group	1
3	#FFA500	0.53	6.47	151	300	group	1
1	#7F7F7F	0.53	6.47	1	50	fold	1
1	#7F7F7F	0.53	6.47	51	100	fold	1
1	#7F7F7F	0.53	6.47	101	150	fold	1
1	#7F7F7F	0.53	6.47	151	200	fold	1
1	#7F7F7F	0.53	6.47	201	250	fold	1
1	#7F7F7F	0.53	6.47	251	300	fold	1
3	#FFA500	6.53	12.47	1	150	group	2
3	#FFA500	6.53	12.47	151	300	group	2
1	#7F7F7F	6.53	12.47	1	50	fold	2
1	#7F7F7F	6.53	12.47	51	100	fold	2
1	#7F7F7F	6.53	12.47	101	150	fold	2
1	#7F7F7F	6.53	12.47	151	200	fold	2
1	#7F7F7F	6.53	12.47	201	250	fold	2
1	#7F7F7F	6.53	12.47	251	300	fold	2
3	#FFA500	12.53	18.47	1	150	group	3
3	#FFA500	12.53	18.47	151	300	group	3
1	#7F7F7F	12.53	18.47	1	50	fold	3
1	#7F7F7F	12.53	18.47	51	100	fold	3
1	#7F7F7F	12.53	18.47	101	150	fold	3
1	#7F7F7F	12.53	18.47	151	200	fold	3
1	#7F7F7F	12.53	18.47	201	250	fold	3
1	#7F7F7F	12.53	18.47	251	300	fold	3
