x	y	label	PANEL	group	anchor
6.47	75.5	group=1	1	-1	end
6.47	225.5	group=2	1	-1	end
0.53	25.5	fold=1	1	-1	start
0.53	75.5	fold=2	1	-1	start
0.53	125.5	fold=3	1	-1	start
0.53	175.5	fold=1	1	-1	start
0.53	225.5	fold=2	1	-1	start
0.53	275.5	fold=3	1	-1	start
12.47	75.5	group=1	2	-1	end
12.47	225.5	group=2	2	-1	end
6.53	25.5	fold=1	2	-1	start
6.53	75.5	fold=2	2	-1	start
6.53	125.5	fold=3	2	-1	start
6.53	175.5	fold=1	2	-1	start
6.53	225.5	fold=2	2	-1	start
6.53	275.5	fold=3	2	-1	start
18.47	75.5	group=1	3	-1	end
18.47	225.5	group=2	3	-1	end
12.53	25.5	fold=1	3	-1	start
12.53	75.5	fold=2	3	-1	start
12.53	125.5	fold=3	3	-1	start
12.53	175.5	fold=1	3	-1	start
12.53	225.5	fold=2	3	-1	start
12.53	275.5	fold=3	3	-1	start
